notation;title;description;id
1;Hörverstehen und audiovisuelles Verstehen;;xzb
1.1;in strukturell unkomplizierten Hörtexten;;z5r
1.3;das Thema und die Hauptaussagen;;9b7
1.4;Vorträge und Präsentationen verstehen;;6pd
1.5;bei längeren Hörtexten und audiovisuellen Texten;;ypy
1.6;das Thema und die Hauptaussagen in audiovisuellen Texten;;29q
1.7;in strukturell unkomplizierten, literarisch-ästhetischen Hörtexten;;ghg
1.8;auf ihnen vertraute (digitale) Werkzeuge;;txh
2;Leseverstehen;Das Leseverstehen ermöglicht die Teilhabe;ae9
2.1;strukturell unkomplizierte Korrespondenz zu vertrauten;;duq
2.2;in strukturell unkomplizierten Gebrauchstexten wichtige;;hep
2.3;klar formulierte Anleitungen;;uvx
2.4;strukturell unkomplizierte Sachtexten;;xsd
2.5;in strukturell unkomplizierten literarisch;;x5q
2.6;das eigene emotionale Erleben;;y66
2.7;beim Lesen auf ihnen vertraute (digitale) Werkzeuge;;a4z
2.8;die Bedeutung unbekannter Wörter in einem Text;;pbq
2.9;mit Hilfe von Hinweisen in Texten und der Aufgabe;;u7r
2.10;die in einer Sprache/weiteren Sprachen verfügbaren Kenntnisse;;fqt
3;Sprechen;Sprechen ist auf die Produktion mündlicher Texte ausgerichtet;34d
3.1;Mündliche Interaktion;;v5e
3.1.1;spontan und flüssig an Gesprächen zu vertraute;;d92
3.1.2;an mündlichen Interaktionsformen teilnehmen;;rty
3.1.3;ein strukturell unkompliziertes Gespräch auch ohne Vorbereitung unter Berücksichtigung;;4f7
3.1.3.1;in einem Alltagsgespräch klar artikulierte Standardsprache verstehen;;9bs
3.1.3.2;an routinemäßigen formellen Diskussionen über vertraute Themen teilnehmen;;f49
3.1.3.2.1;unkomplizierte Sachinformationen über vertraute Themen adressaten;;dec
3.1.3.2.2;(digitale) Hilfsmittel nutzen, um relativ einfache;;zay
3.1.3.2.3;neue Ausdrücke und Kombinationen von Ausdrücken einüben;;773
3.1.3.2.3.1;sprachlich oder inhaltlich ähnliche Wörter verwenden;;pza
3.1.3.2.3.2;ein strukturell unkompliziertes Gespräch;;cux
3.1.3.2.3.2.1;die in einer Sprache/weiteren Sprachen verfügbaren Kenntniss;;3sr
3.1.3.2.3.2.2;die in einer Sprache/weiteren Sprachen verfügbaren Kenntniss;;a7f
3.2;Mündliche Produktion;;2x5
3.2.1;weitgehend flüssig strukturell unkomplizierte;;9b2
3.2.2;zu verschiedenen vertrauten Themen des eigenen;;aug
3.2.3;die Hauptaspekte einer Idee oder eines Problems;;hfr
3.2.4;für Ansichten, Pläne oder Handlungen;;czt
3.2.5;vorbereitete Präsentationen zu vertrauten Themen;;u7p
3.2.6;(digitale) Hilfsmittel in der Regel selbstständig nutzen;;q45
3.2.7;ihre begrenzten Kompetenzen;;rep
4;Schreiben;Schreiben ist auf die Produktion schriftlicher;q3p
4.1;Schriftliche Interaktion;;fxh
4.1.1;adressaten-, situations- und zweckangemessen in einfachen Texten;;6yb
4.1.2;in persönlichen Korrespondenzen einfache Informationen;;2vp
4.1.3;persönliche Korrespondenzen verfassen und darin detailliert über Erfahrungen;;c64
4.1.4;adressaten-, situations- und zweckangemessen Notizen;;chh
4.1.5;formelle Schreiben, die inhaltlich, sprachlich;;25x
4.1.6;Beitrag zu einer Online-Diskussion über ein vertrautes Thema;;yug
4.1.7;in der Regel selbständig erklären, warum bestimmte Teile;;egb
4.1.8;(digitale) Hilfsmittel in der Regel selbstständig nutzen;;5yc
4.1.9;sprachlich oder inhaltlich ähnliche Wörter verwenden;;5uq
4.1.10;andere um Erklärung, mehr Details oder Wiederholung;;3fh
4.1.11;die in einer Sprache/weiteren Sprachen verfügbaren Kenntnisse;;4bs
4.2;Schriftliche Produktion;;ycc
4.2.1;strukturell unkomplizierte, zusammenhängende Texte zu vertrauten;;v9g
4.2.2;Beschreibungen eines realen;;esr
4.2.3;in einem üblichen Standardformat kurze Berichte verfassen;;9g3
4.2.4;(digitale) Hilfsmittel in der Regel selbstständig nutzen;;ftb
4.2.5;das eigene Repertoire an sprachlichen Mitteln mit Hilfe (digitaler) Werkzeuge;;7z6
4.2.6;die in einer Sprache/weiteren Sprachen verfügbaren Kenntnisse;;qt3
5;Mediation / Sprachmittlung;Mediation ist ein interaktiver Prozess;z55
5.1;in beide Richtungen zwischen Deutsch und der ersten Fremdsprache;;veq
5.2;Interaktionen voranbringen, indem sie andere Menschen einladen;;9a5
5.3;einfache Gespräche für Menschen verschiedener Herkunft;;hu7
5.4;in Sprachmittlungs- bzw. Mediationssituationen;;t64
5.5;strategisch und zielführend in Sprachmittlungs- bzw. Mediationssituationen;;6cb